item_id,model,tugas,penilai,benar,latensi_ms,biaya_usd,tokens_out,cap_token,dijalankan_pada
id-b1-017,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,2602,0.0000818000,33,600,2026-08-17T22:47:00+0700
id-b1-017,hunyuan-a13b,pilihan-ganda,mcq-py1,0,1505,0.0000369800,2,600,2026-08-17T22:53:29+0700
id-b1-017,ling-3.0-flash,pilihan-ganda,mcq-py1,0,8879,0.0000547200,214,600,2026-08-17T22:35:44+0700
id-b1-017,llama-3-1-8b-q4km-local,pilihan-ganda,mcq-py1,1,534,,2,600,2026-08-17T22:00:35+0700
id-b1-017,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,467,0.0000115100,2,600,2026-08-17T22:25:29+0700
id-b1-017,mistral-small-3-2501,pilihan-ganda,mcq-py1,0,441,0.0000115100,2,600,2026-08-13T14:45:50+0700
id-b1-017,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,2993,0.0000237000,1,600,2026-08-17T22:31:04+0700
id-b1-017,qwen3-30b-a3b-2507,pilihan-ganda,mcq-py1,1,559,0.0000127120,1,600,2026-08-14T03:02:13+0700
id-b1-017,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,490,,2,600,2026-08-17T22:02:51+0700
id-b1-017,sahabatai-1-llama3-q4km-local,pilihan-ganda,mcq-py1,1,396,,2,600,2026-08-17T22:09:32+0700
id-b1-017,sea-lion-v4-5-e2b-q4km-local,pilihan-ganda,mcq-py1,0,798,,2,600,2026-08-17T22:05:08+0700
id-b1-017,solar-pro4,pilihan-ganda,mcq-py1,0,727,0.0000083400,2,600,2026-08-17T22:16:46+0700
id-b1-018,claude-haiku-4.5,pilihan-ganda,mcq-py1,1,1393,0.0002290000,4,600,2026-08-17T23:06:25+0700
id-b1-018,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3780,0.0000340594,85,600,2026-08-17T22:59:33+0700
id-b1-018,deepseek-v4-flash-0731,pilihan-ganda,mcq-py1,1,3695,0.0000202000,42,600,2026-08-14T02:59:29+0700
id-b1-018,gemma-4-31b,pilihan-ganda,mcq-py1,1,435,0.0000142700,2,600,2026-08-17T22:41:53+0700
id-b1-018,gpt-5.6-luna,pilihan-ganda,mcq-py1,1,932,0.0000360000,5,600,2026-08-17T22:47:03+0700
id-b1-018,hunyuan-a13b,pilihan-ganda,mcq-py1,0,1541,0.0000260600,2,600,2026-08-17T22:53:31+0700
